ticker,ipo_date,board_note
TRUS,2002-11-28 00:00:00,PENGEMBANGAN
TSPC,1994-06-17 00:00:00,UTAMA
ULTJ,1990-07-02 00:00:00,UTAMA
UNIC,1989-11-06 00:00:00,UTAMA
UNIT,2002-04-18 00:00:00,PENGEMBANGAN
UNSP,1990-03-06 00:00:00,PEMANTAUAN KHUSUS
UNTR,1989-09-19 00:00:00,UTAMA
UNVR,1982-01-11 00:00:00,UTAMA
VICO,2013-07-08 00:00:00,UTAMA
VINS,2015-09-28 00:00:00,PENGEMBANGAN
VIVA,2011-11-21 00:00:00,PEMANTAUAN KHUSUS
VOKS,20 Des 1990,PENGEMBANGAN
VRNA,2008-06-25 00:00:00,PENGEMBANGAN
WAPO,2001-06-22 00:00:00,PENGEMBANGAN
WEHA,31 Mei 2007,PENGEMBANGAN
WICO,08 Agt 1994,PEMANTAUAN KHUSUS
WIIM,18 Des 2012,UTAMA
WIKA,29 Okt 2007,PEMANTAUAN KHUSUS
WINS,2010-11-29 00:00:00,UTAMA
WOMF,13 Des 2004,PENGEMBANGAN
WSKT,19 Des 2012,PEMANTAUAN KHUSUS
WTON,2014-04-08 00:00:00,UTAMA
YPAS,2008-03-05 00:00:00,PENGEMBANGAN
YULE,10 Des 2004,PENGEMBANGAN
ZBRA,01 Agt 1991,PEMANTAUAN KHUSUS
SHIP,2016-06-16 00:00:00,UTAMA
CASA,2016-07-19 00:00:00,PENGEMBANGAN
DAYA,2016-06-28 00:00:00,PENGEMBANGAN
DPUM,08 Des 2015,PENGEMBANGAN
IDPR,10 Des 2015,PENGEMBANGAN
JGLE,2016-06-29 00:00:00,PEMANTAUAN KHUSUS
KINO,11 Des 2015,PENGEMBANGAN
MARI,2016-02-11 00:00:00,PEMANTAUAN KHUSUS
MKNT,26 Okt 2015,PEMANTAUAN KHUSUS
MTRA,2016-02-10 00:00:00,PEMANTAUAN KHUSUS
OASA,2016-07-18 00:00:00,PENGEMBANGAN
POWR,2016-06-14 00:00:00,UTAMA
INCF,2016-09-06 00:00:00,PEMANTAUAN KHUSUS
WSBP,2016-09-20 00:00:00,PEMANTAUAN KHUSUS
PBSA,2016-09-28 00:00:00,PENGEMBANGAN
PRDA,07 Des 2016,UTAMA
BOGA,19 Des 2016,PENGEMBANGAN
BRIS,09 Mei 2018,UTAMA
PORT,2017-03-16 00:00:00,PENGEMBANGAN
CARS,2017-04-10 00:00:00,UTAMA
MINA,2017-04-28 00:00:00,PENGEMBANGAN
CLEO,05 Mei 2017,UTAMA
TAMU,10 Mei 2017,PEMANTAUAN KHUSUS
CSIS,10 Mei 2017,PENGEMBANGAN
TGRA,16 Mei 2017,PEMANTAUAN KHUSUS
FIRE,2017-06-09 00:00:00,PENGEMBANGAN
TOPS,2017-06-16 00:00:00,PEMANTAUAN KHUSUS
KMTR,2017-06-19 00:00:00,PENGEMBANGAN
ARMY,2017-06-21 00:00:00,PEMANTAUAN KHUSUS
MAPB,2017-06-21 00:00:00,PENGEMBANGAN
WOOD,2017-06-21 00:00:00,UTAMA
HRTA,2017-06-21 00:00:00,UTAMA
MABA,2017-06-22 00:00:00,PEMANTAUAN KHUSUS
HOKI,2017-06-22 00:00:00,PENGEMBANGAN
MPOW,2017-07-05 00:00:00,PENGEMBANGAN
MARK,2017-07-12 00:00:00,UTAMA
NASA,07 Agt 2017,PEMANTAUAN KHUSUS
MDKI,2017-09-25 00:00:00,PENGEMBANGAN
BELL,03 Okt 2017,PENGEMBANGAN
KIOS,05 Okt 2017,PEMANTAUAN KHUSUS
GMFI,10 Okt 2017,PEMANTAUAN KHUSUS
MTWI,12 Okt 2017,PENGEMBANGAN
ZINC,16 Okt 2017,PEMANTAUAN KHUSUS
MCAS,2017-11-01 00:00:00,UTAMA
PPRE,2017-11-24 00:00:00,PENGEMBANGAN
WEGE,2017-11-30 00:00:00,PENGEMBANGAN
PSSI,05 Des 2017,UTAMA
MORA,08 Agt 2022,UTAMA
