Ticker,PBV x ROE,Close Price,Price to Equity Discount (%),Relative PE ratio (TTM),EPS Growth,Debt to Total Assets Ratio,Liquidity Differential,CCE,Operating Efficiency,Dividend Payout Efficiency,Yearly Price Change,Composite Rank,Net Debt to Equity
ASLC,0.04587004446423922,64.0,-7.527159655032656,1.9781361490838651,-0.7746069559508335,0.02182447904041357,4.094356779427749,0.2773460554873678,-0.007084903581316491,0.3983478432467217,0.0,0.4892,-0.31804042448832365
ASLI,-0.9743900407058989,197.0,-69.92215762586852,-0.8802125185656098,0.44208263508520845,0.05878020308937425,3.3216066283359647,0.013809017019181434,-0.20097296764833053,0.0,2.94,0.3277,0.04925925192008633
ASMI,0.055362573151588775,16.0,168.26055809372477,0.19475284948314242,1.2835244074346845,0.00015632831463116936,,0.02626364970426224,0.008811700807442684,0.0,-0.058823529411764705,0.7081,-0.09322528263401716
ASPI,,428.0,,,,,,,,,0.5507246376811594,0.2471,
ASPR,,154.0,,,,,,,,,0.6382978723404256,0.3305,
ASRI,0.00612208281857689,126.0,364.9686925307036,0.5862287473056776,-1.1805674801873318,0.25705037706081474,0.7655599833531568,0.03781564952946057,0.24676389732326734,0.08994439191673603,-0.23636363636363636,0.7821,0.4432459325348214
ASRM,0.010604610029108381,270.0,107.75770512281784,1.6951368068123174,-0.24102126867347248,0.08360174233283989,,0.06559589576826066,0.03123287603521387,0.24274400281144187,0.012500038623811287,0.4392,0.04192569119858452
ASSA,0.17399180994378022,645.0,-5.0363874401071635,0.49450475786708165,0.006782992038533282,0.4864046784156293,0.986049566417188,0.12472291207593024,0.15310826156330815,0.49404559212013144,-0.3316062176165803,0.7551,1.4423135536997023
ATAP,,580.0,,,,,,,,,19.0,0.4278,
ATIC,0.5259137809644119,470.0,-54.16688541293527,0.7023287436040409,-0.7802263009035564,0.3536005399555754,1.0019300397338327,0.10948808797927444,0.0508052630139067,0.0,0.16336633663366337,0.6412,2.4278475631706833
ATLA,0.035508087713807916,50.0,-45.26820583406706,7.294694043758022,-0.4094892987956452,0.005722319513525306,12.910048222079482,0.06998371634133091,0.05865515951439037,1.0529587760381636,0.0,0.378,-0.06670776341912105
